Date,Portfolio A,Portfolio B
2015/1/5,1,1
2015/1/6,0.980528294,0.9833762
2015/1/7,0.998238724,0.989592028
2015/1/8,1.064434016,1.04285335
2015/1/9,1.013881209,1.013947813
2015/1/12,1.027639032,1.022942143
2015/1/13,0.99567211,0.999221621
2015/1/14,0.965681277,0.9819205
2015/1/15,0.957181786,0.987988208
2015/1/16,0.942610203,0.975677908
2015/1/19,0.949631419,0.985359865
2015/1/20,0.943245075,0.983791929
2015/1/21,0.909969958,0.964264917
2015/1/22,0.917455135,0.973578851
2015/1/23,0.93022633,0.99597567
2015/1/26,0.939573283,1.007071131
2015/1/27,0.953442955,1.026398347
2015/1/28,0.942664448,1.020569295
2015/1/29,0.934565082,1.015929998
2015/1/30,0.931724169,1.006215779
2015/2/2,0.953197444,1.032184646
2015/2/3,0.936361888,1.004106218
2015/2/4,0.929244119,0.997927588
2015/2/5,0.915685367,0.994286057
2015/2/6,0.919755383,0.994426605
2015/2/9,0.92475596,1.005389827
2015/2/10,0.921476188,0.998431534
2015/2/11,0.952031961,1.020553033
2015/2/12,0.994546031,1.052698425
2015/2/13,0.988031225,1.058115182
2015/2/16,0.986991569,1.057216986
2015/2/17,1.013316665,1.081267418
2015/2/18,1.011824588,1.085157913
2015/2/19,1.026714424,1.11061135
2015/2/20,1.012709584,1.098296199
2015/2/23,1.003925366,1.079860269
2015/2/24,1.017294233,1.094521731
2015/2/25,1.023238282,1.100838182
2015/2/26,1.047591088,1.114814479
2015/2/27,1.056812759,1.111814574
2015/3/2,1.071617008,1.121526511
2015/3/3,1.038779957,1.090480591
2015/3/4,1.005784143,1.061935716
2015/3/5,0.990806136,1.051956152
2015/3/6,0.977678281,1.053090912
2015/3/9,0.973135318,1.05921415
2015/3/10,0.975616125,1.053957372
2015/3/11,0.976830048,1.048908148
2015/3/12,0.968048178,1.040820804
2015/3/13,0.967844473,1.048592003
2015/3/16,0.979976637,1.052691185
2015/3/17,1.026577828,1.092729246
2015/3/18,1.067722555,1.119108195
2015/3/19,1.076456261,1.124691414
2015/3/20,1.077795243,1.124503726
2015/3/23,1.093452978,1.137361821
2015/3/24,1.128398181,1.156410606
2015/3/25,1.134219651,1.166181681
2015/3/26,1.112199791,1.150227256
2015/3/27,1.118144051,1.158292278
2015/3/30,1.127289674,1.16977855
2015/3/31,1.106881167,1.154409037
2015/4/1,1.105544,1.166158847
2015/4/2,1.109213558,1.152622198
2015/4/3,1.091458208,1.1430888
2015/4/6,1.094979561,1.142030383
2015/4/7,1.110109112,1.150192256
2015/4/8,1.111424858,1.155648502
2015/4/9,1.133437211,1.172959598
2015/4/10,1.133368222,1.165012082
2015/4/13,1.085743367,1.130891056
2015/4/14,1.087482611,1.133121619
2015/4/15,1.120786804,1.16380519
2015/4/16,1.087313754,1.152082497
2015/4/17,1.10098077,1.147753782
2015/4/20,1.124980257,1.164557191
2015/4/21,1.185866341,1.204864367
2015/4/22,1.167780101,1.190702625
2015/4/23,1.159055981,1.185669346
2015/4/24,1.169972789,1.197005646
2015/4/27,1.159142294,1.193713421
2015/4/28,1.170406533,1.193821629
2015/4/29,1.203529018,1.205192486
2015/4/30,1.208009914,1.213892507
2015/5/1,1.227387155,1.228474194
2015/5/4,1.223067368,1.232091318
2015/5/5,1.252026984,1.259189708
2015/5/6,1.266164655,1.276961363
2015/5/7,1.250087107,1.270250363
2015/5/8,1.253397253,1.275708077
2015/5/11,1.269542859,1.273391663
2015/5/12,1.281102199,1.273579747
2015/5/13,1.294311379,1.276852317
2015/5/14,1.283176741,1.270850436
2015/5/15,1.295944841,1.282196455
2015/5/18,1.265230838,1.262461647
2015/5/19,1.262401855,1.261893113
2015/5/20,1.262362403,1.262417187
2015/5/21,1.306637148,1.28744221
2015/5/22,1.304417936,1.282806918
2015/5/25,1.314847373,1.284701961
2015/5/26,1.285351213,1.256378034
2015/5/27,1.279524228,1.246332751
2015/5/28,1.263176643,1.228102828
2015/5/29,1.241968821,1.206849882
2015/6/1,1.262357133,1.221250762
2015/6/2,1.278308146,1.22419573
2015/6/3,1.255988795,1.207099614
2015/6/4,1.263904101,1.213484637
2015/6/5,1.296364661,1.236351944
2015/6/8,1.27525623,1.222290918
2015/6/9,1.287472936,1.243464623
